municipality,population
Ajdovščina,61739
Ankaran/Ancarano,10489
Apače,11071
Beltinci,25184
Benedikt,8881
Bistrica ob Sotli,4173
Bled,25019
Bloke,4814
Bohinj,16031
Borovnica,14824
Bovec,9197
Braslovče,18263
Brda,16990
Brezovica,41159
Brežice,75497
Cankova,5447
Celje,155435
Cerklje na Gorenjskem,25018
Cerknica,37010
Cerkno,13469
Cerkvenjak,7126
Cirkulane,7465
Črenšovci,12145
Črna na Koroškem,9187
Črnomelj,43604
Destrnik,8509
Divača,14065
Dobje,3009
Dobrepolje,12447
Dobrna,7282
Dobrova - Polhov Gradec,25474
Dobrovnik/Dobronak,3801
Dol pri Ljubljani,20429
Dolenjske Toplice,11354
Domžale,120597
Dornava,9184
Dravograd,27100
Duplek,21830
Gorenja vas - Poljane,24300
Gorišnica,13143
Gorje,8538
Gornja Radgona,26298
Gornji Grad,7883
Gornji Petrovci,5933
Grad,6058
Grosuplje,70218
Hajdina,12476
Hoče - Slivnica,37084
Hodoš/Hodos,995
Horjul,9556
Hrastnik,27097
Hrpelje - Kozina,16417
Idrija,36063
Ig,24667
Ilirska Bistrica,40357
Ivančna Gorica,57755
Izola/Isola,50717
Jesenice,68646
Jezersko,2048
Juršinci,7572
Kamnik,94598
Kanal,15515
Kidričevo,20760
Kobarid,12222
Kobilje,1564
Kočevje,48051
Komen,10595
Komenda,21660
Koper/Capodistria,170559
Kostanjevica na Krki,7541
Kostel,1825
Kozje,9181
Kranj,180658
Kranjska Gora,15622
Križevci,10877
Krško,81022
Kungota,15731
Kuzma,5011
Laško,40192
Lenart,26614
Lendava/Lendva,30489
Litija,49621
Ljubljana,966244
Ljubno,7712
Ljutomer,33745
Log - Dragomer,12115
Logatec,47695
Loška dolina,10819
Loški Potok,5589
Lovrenc na Pohorju,9027
Luče,4415
Lukovica,19622
Majšperk,12394
Makole,6363
Maribor,360411
Markovci,12781
Medvode,54138
Mengeš,27526
Metlika,26270
Mežica,10959
Miklavž na Dravskem polju,22772
Miren - Kostanjevica,15605
Mirna,8620
Mirna Peč,9932
Mislinja,14024
Mokronog - Trebelno,10111
Moravče,18026
Moravske Toplice,18145
Mozirje,14188
Murska Sobota,56326
Muta,10357
Naklo,17254
Nazarje,8571
Nova Gorica,98571
Novo mesto,121383
Odranci,4913
Oplotnica,13085
Ormož,36470
Osilnica,983
Pesnica,24395
Piran/Pirano,55889
Pivka,19094
Podčetrtek,11122
Podlehnik,5591
Podvelka,6886
Poljčane,13501
Polzela,20568
Postojna,55544
Prebold,16345
Preddvor,12302
Prevalje,20707
Ptuj,74860
Puconci,18004
Rače - Fram,25240
Radeče,12397
Radenci,15269
Radlje ob Dravi,19562
Radovljica,60209
Ravne na Koroškem,34348
Razkrižje,3738
Rečica ob Savinji,7203
Renče - Vogrsko,13455
Ribnica,30665
Ribnica na Pohorju,3356
Rogaška Slatina,36564
Rogašovci,9393
Rogatec,9675
Ruše,22459
Selnica ob Dravi,13648
Semič,11619
Sevnica,53894
Sežana,42374
Slovenj Gradec,52901
Slovenska Bistrica,81780
Slovenske Konjice,48865
Sodražica,7124
Solčava,1530
Središče ob Dravi,5566
Starše,12753
Straža,12239
Sveta Ana,7465
Sveta Trojica v Slov. goricah,7034
Sveti Andraž v Slov. goricah,3720
Sveti Jurij ob Ščavnici,8746
Sveti Jurij v Slov. goricah,6886
Sveti Tomaž,6168
Šalovci,4028
Šempeter - Vrtojba,19270
Šenčur,27940
Šentilj,26077
Šentjernej,23079
Šentjur,60880
Šentrupert,9158
Škocjan,11187
Škofja Loka,75524
Škofljica,38325
Šmarje pri Jelšah,32787
Šmarješke Toplice,11195
Šmartno ob Paki,10568
Šmartno pri Litiji,18041
Šoštanj,28117
Štore,13806
Tabor,5559
Tišina,12197
Tolmin,32477
Trbovlje,49027
Trebnje,42765
Trnovska vas,4374
Trzin,12765
Tržič,47099
Turnišče,9642
Velenje,106086
Velika Polana,4272
Velike Lašče,14301
Veržej,4166
Videm,17411
Vipava,18272
Vitanje,6853
Vodice,16607
Vojnik,28923
Vransko,8482
Vrhnika,57572
Vuzenica,8007
Zagorje ob Savi,50960
Zavrč,4733
Zreče,20977
Žalec,67870
Železniki,20936
Žetale,4004
Žiri,15883
Žirovnica,13876
Žužemberk,14636